Call Number,Timestamp,Time Taken (seconds)
1,2024-10-23 11:41:02.734966,0.031091928482055664
2,2024-10-23 11:41:02.766136,0.030043840408325195
3,2024-10-23 11:41:02.796263,0.033325910568237305
4,2024-10-23 11:41:02.829661,0.03183412551879883
5,2024-10-23 11:41:02.861559,0.032675981521606445
6,2024-10-23 11:41:02.894300,0.032614946365356445
7,2024-10-23 11:41:02.926999,0.03142189979553223
8,2024-10-23 11:41:02.958478,0.03281998634338379
9,2024-10-23 11:41:02.991385,0.03184390068054199
10,2024-10-23 11:41:03.023304,0.031935930252075195
11,2024-10-23 11:41:03.055327,0.03114008903503418
12,2024-10-23 11:41:03.086526,0.032723188400268555
13,2024-10-23 11:41:03.119317,0.042243003845214844
14,2024-10-23 11:41:03.162141,0.053845882415771484
15,2024-10-23 11:41:03.216008,0.027565956115722656
16,2024-10-23 11:41:03.243618,0.028766870498657227
17,2024-10-23 11:41:03.272419,0.029133081436157227
18,2024-10-23 11:41:03.301597,0.03807520866394043
19,2024-10-23 11:41:03.339711,0.03197503089904785
20,2024-10-23 11:41:03.371721,0.03304028511047363
21,2024-10-23 11:41:03.404813,0.029020071029663086
22,2024-10-23 11:41:03.433876,0.03219413757324219
23,2024-10-23 11:41:03.466144,0.030564069747924805
24,2024-10-23 11:41:03.496751,0.028479814529418945
25,2024-10-23 11:41:03.525319,0.029974937438964844
26,2024-10-23 11:41:03.555330,0.029720067977905273
27,2024-10-23 11:41:03.585093,0.03455471992492676
28,2024-10-23 11:41:03.619727,0.030238866806030273
29,2024-10-23 11:41:03.650014,0.028638124465942383
30,2024-10-23 11:41:03.678692,0.030207157135009766
31,2024-10-23 11:41:03.708960,0.028043031692504883
32,2024-10-23 11:41:03.737086,0.03242206573486328
33,2024-10-23 11:41:03.769588,0.029896259307861328
34,2024-10-23 11:41:03.799543,0.02902507781982422
35,2024-10-23 11:41:03.828638,0.031954050064086914
36,2024-10-23 11:41:03.860656,0.028517961502075195
37,2024-10-23 11:41:03.889228,0.030007123947143555
38,2024-10-23 11:41:03.919311,0.029744863510131836
39,2024-10-23 11:41:03.949107,0.029253005981445312
40,2024-10-23 11:41:03.978422,0.03333091735839844
41,2024-10-23 11:41:04.011811,0.029491901397705078
42,2024-10-23 11:41:04.041361,0.030858993530273438
43,2024-10-23 11:41:04.072294,0.03103494644165039
44,2024-10-23 11:41:04.103367,0.027853965759277344
45,2024-10-23 11:41:04.131293,0.03267407417297363
46,2024-10-23 11:41:04.164028,0.028645038604736328
47,2024-10-23 11:41:04.192734,0.03137922286987305
48,2024-10-23 11:41:04.224175,0.03249001502990723
49,2024-10-23 11:41:04.256718,0.03246283531188965
50,2024-10-23 11:41:04.289238,0.02960205078125
51,2024-10-23 11:41:04.318893,0.029207944869995117
52,2024-10-23 11:41:04.348160,0.03061509132385254
53,2024-10-23 11:41:04.378883,0.033016204833984375
54,2024-10-23 11:41:04.411967,0.029078006744384766
55,2024-10-23 11:41:04.441117,0.030252933502197266
56,2024-10-23 11:41:04.471453,0.03187108039855957
57,2024-10-23 11:41:04.503408,0.030960798263549805
58,2024-10-23 11:41:04.534479,0.03171205520629883
59,2024-10-23 11:41:04.566294,0.03345918655395508
60,2024-10-23 11:41:04.599818,0.03151822090148926
61,2024-10-23 11:41:04.631442,0.03113102912902832
62,2024-10-23 11:41:04.662644,0.08908605575561523
63,2024-10-23 11:41:04.751852,0.0314481258392334
64,2024-10-23 11:41:04.783377,0.03198695182800293
65,2024-10-23 11:41:04.815462,0.030251026153564453
66,2024-10-23 11:41:04.845784,0.030092954635620117
67,2024-10-23 11:41:04.875951,0.032425880432128906
68,2024-10-23 11:41:04.908462,0.030802011489868164
69,2024-10-23 11:41:04.939337,0.031203031539916992
70,2024-10-23 11:41:04.970655,0.034105777740478516
71,2024-10-23 11:41:05.004869,0.03130292892456055
72,2024-10-23 11:41:05.036269,0.03209805488586426
73,2024-10-23 11:41:05.068463,0.03059101104736328
74,2024-10-23 11:41:05.099179,0.030739307403564453
75,2024-10-23 11:41:05.129991,0.03152298927307129
76,2024-10-23 11:41:05.161603,0.031206130981445312
77,2024-10-23 11:41:05.192923,0.0307767391204834
78,2024-10-23 11:41:05.223799,0.03452014923095703
79,2024-10-23 11:41:05.258434,0.030922889709472656
80,2024-10-23 11:41:05.289431,0.030543088912963867
81,2024-10-23 11:41:05.320047,0.031262874603271484
82,2024-10-23 11:41:05.351387,0.0318598747253418
83,2024-10-23 11:41:05.383345,0.03063488006591797
84,2024-10-23 11:41:05.414057,0.03188014030456543
85,2024-10-23 11:41:05.446043,0.03133392333984375
86,2024-10-23 11:41:05.477434,0.03118896484375
87,2024-10-23 11:41:05.508733,0.030035972595214844
88,2024-10-23 11:41:05.538841,0.033609867095947266
89,2024-10-23 11:41:05.572549,0.030761003494262695
90,2024-10-23 11:41:05.603388,0.029527664184570312
91,2024-10-23 11:41:05.633014,0.029807090759277344
92,2024-10-23 11:41:05.662893,0.03087902069091797
93,2024-10-23 11:41:05.693860,0.029430150985717773
94,2024-10-23 11:41:05.723371,0.03208613395690918
95,2024-10-23 11:41:05.755570,0.033992767333984375
96,2024-10-23 11:41:05.789638,0.029335737228393555
97,2024-10-23 11:41:05.819081,0.032736778259277344
98,2024-10-23 11:41:05.851886,0.03073906898498535
99,2024-10-23 11:41:05.882700,0.03048396110534668
100,2024-10-23 11:41:05.913270,0.02944207191467285
